symbol,urlhistory,urlsymbol
STP, http://s.cafef.vn/Lich-su-giao-dich-STP-1.chn, http://s.cafef.vn/hastc/STP-cong-ty-co-phan-cong-nghiep-thuong-mai-song-da.chn
CLX, http://s.cafef.vn/Lich-su-giao-dich-CLX-1.chn, http://s.cafef.vn/upcom/CLX-cong-ty-co-phan-xuat-nhap-khau-va-dau-tu-cho-lon-cholimex.chn
PC1, http://s.cafef.vn/Lich-su-giao-dich-PC1-1.chn, http://s.cafef.vn/hose/PC1-cong-ty-co-phan-xay-lap-dien-1.chn
NTL, http://s.cafef.vn/Lich-su-giao-dich-NTL-1.chn, http://s.cafef.vn/hose/NTL-cong-ty-co-phan-phat-trien-do-thi-tu-liem.chn
SDD, http://s.cafef.vn/Lich-su-giao-dich-SDD-1.chn, http://s.cafef.vn/upcom/SDD-cong-ty-co-phan-dau-tu-va-xay-lap-song-da.chn
FUEMAV30, http://s.cafef.vn/Lich-su-giao-dich-FUEMAV30-1.chn, http://s.cafef.vn/hose/FUEMAV30-quy-etf-mafm-vn30.chn
M10, http://s.cafef.vn/Lich-su-giao-dich-M10-1.chn, http://s.cafef.vn/upcom/M10-tong-cong-ty-may-10-ctcp.chn
PTG, http://s.cafef.vn/Lich-su-giao-dich-PTG-1.chn, http://s.cafef.vn/upcom/PTG-cong-ty-co-phan-may-xuat-khau-phan-thiet.chn
UEM, http://s.cafef.vn/Lich-su-giao-dich-UEM-1.chn, http://s.cafef.vn/upcom/UEM-ctcp-co-dien-uong-bivinacomin.chn
TEL, http://s.cafef.vn/Lich-su-giao-dich-TEL-1.chn, http://s.cafef.vn/upcom/TEL-cong-ty-co-phan-phat-trien-cong-trinh-vien-thong.chn
TNP, http://s.cafef.vn/Lich-su-giao-dich-TNP-1.chn, http://s.cafef.vn/upcom/TNP-cong-ty-co-phan-cang-thi-nai.chn
LGC, http://s.cafef.vn/Lich-su-giao-dich-LGC-1.chn, http://s.cafef.vn/hose/LGC-cong-ty-co-phan-dau-tu-cau-duong-cii.chn
NTP, http://s.cafef.vn/Lich-su-giao-dich-NTP-1.chn, http://s.cafef.vn/hastc/NTP-cong-ty-co-phan-nhua-thieu-nien-tien-phong.chn
CEE, http://s.cafef.vn/Lich-su-giao-dich-CEE-1.chn, http://s.cafef.vn/hose/CEE-cong-ty-co-phan-xay-dung-ha-tang-cii.chn
PEQ, http://s.cafef.vn/Lich-su-giao-dich-PEQ-1.chn, http://s.cafef.vn/upcom/PEQ-cong-ty-co-phan-thiet-bi-xang-dau-petrolimex.chn
HAM, http://s.cafef.vn/Lich-su-giao-dich-HAM-1.chn, http://s.cafef.vn/upcom/HAM-cong-ty-co-phan-vat-tu-hau-giang.chn
TDP, http://s.cafef.vn/Lich-su-giao-dich-TDP-1.chn, http://s.cafef.vn/hose/TDP-cong-ty-co-phan-thuan-duc.chn
CPH, http://s.cafef.vn/Lich-su-giao-dich-CPH-1.chn, http://s.cafef.vn/upcom/CPH-cong-ty-co-phan-mai-tang-hai-phong.chn
CSI, http://s.cafef.vn/Lich-su-giao-dich-CSI-1.chn, http://s.cafef.vn/upcom/CSI-cong-ty-co-phan-chung-khoan-kien-thiet-viet-nam.chn
HHR, http://s.cafef.vn/Lich-su-giao-dich-HHR-1.chn, http://s.cafef.vn/upcom/HHR-cong-ty-co-phan-duong-sat-ha-hai.chn
PMB, http://s.cafef.vn/Lich-su-giao-dich-PMB-1.chn, http://s.cafef.vn/hastc/PMB-cong-ty-co-phan-phan-bon-va-hoa-chat-dau-khi-mien-bac.chn
LTG, http://s.cafef.vn/Lich-su-giao-dich-LTG-1.chn, http://s.cafef.vn/upcom/LTG-cong-ty-co-phan-tap-doan-loc-troi.chn
NBE, http://s.cafef.vn/Lich-su-giao-dich-NBE-1.chn, http://s.cafef.vn/upcom/NBE-cong-ty-co-phan-sach-va-thiet-bi-giao-duc-mien-bac.chn
S99, http://s.cafef.vn/Lich-su-giao-dich-S99-1.chn, http://s.cafef.vn/hastc/S99-cong-ty-co-phan-sci.chn
SDY, http://s.cafef.vn/Lich-su-giao-dich-SDY-1.chn, http://s.cafef.vn/upcom/SDY-cong-ty-co-phan-xi-mang-song-da-yaly.chn
CVT, http://s.cafef.vn/Lich-su-giao-dich-CVT-1.chn, http://s.cafef.vn/hose/CVT-cong-ty-co-phan-cmc.chn
TVD, http://s.cafef.vn/Lich-su-giao-dich-TVD-1.chn, http://s.cafef.vn/hastc/TVD-cong-ty-co-phan-than-vang-danh-vinacomin.chn
LCG, http://s.cafef.vn/Lich-su-giao-dich-LCG-1.chn, http://s.cafef.vn/hose/LCG-cong-ty-co-phan-licogi-16.chn
SSM, http://s.cafef.vn/Lich-su-giao-dich-SSM-1.chn, http://s.cafef.vn/hastc/SSM-cong-ty-co-phan-che-tao-ket-cau-thep-vnecossm.chn
PEG, http://s.cafef.vn/Lich-su-giao-dich-PEG-1.chn, http://s.cafef.vn/upcom/PEG-tong-cong-ty-thuong-mai-ky-thuat-va-dau-tu-ctcp.chn
TTE, http://s.cafef.vn/Lich-su-giao-dich-TTE-1.chn, http://s.cafef.vn/hose/TTE-cong-ty-co-phan-dau-tu-nang-luong-truong-thinh.chn
NXT, http://s.cafef.vn/Lich-su-giao-dich-NXT-1.chn, http://s.cafef.vn/upcom/NXT-ctcp-san-xuat-va-cung-ung-vat-lieu-xay-dung-kon-tum.chn
